Drug,First Times,General,Retrospective / Summary,Preparation / Recipes,Difficult Experiences,Bad Trips,Health Problems,Train Wrecks & Trip Disasters,Addiction & Habituation,Glowing Experiences,Mystical Experiences,Health Benefits,Families,Medical Use,What Was in That?,Second Hand Report,Entities / Beings,Therapeutic Intent or Outcome,Personal Preparation,Pregnancy / Baby,Guides / Sitters,HPPD / Lasting Visuals,Overdose,Video,Performance Enhancement,Loss of Magic,Depression,Post Trip Problems,Music Discussion,Nature / Outdoors,Cultivation / Synthesis,Multi-Day Experience,Poetry,Relationships,Hangover / Days After,Sex Discussion
Mushrooms,25.6,33.7,4.6,1.9,22.3,10,3.2,3.1,0.3,22.4,16.5,1.9,1.7,0.3,0.3,1,6.8,1.7,1.9,0.1,3.3,0.8,1,0,0.1,0.1,2.2,2.8,6.7,9,0.5,1,0.7,6.8,2.3,1.7
Cannabis,17.9,29,10.9,4.4,21.8,10.4,9.7,2.2,3.8,14,7.5,1.9,1.4,1.5,1.8,0.5,3.3,0.8,0.5,0,1,0.7,3.7,0.1,0.1,0.4,3.7,5.3,6.9,5,0.2,2.2,0.2,3,7.6,2.1
Salvia divinorum,33.9,42.2,12.1,1.4,19.2,5.6,1,0.7,0.1,9.6,15.7,1.2,0.8,0.1,0.1,1.2,27.4,0.6,1.7,0,9.1,0.7,0,0,0,0.1,0.6,1.5,4,1.5,0.1,0.8,0.6,2.4,1.5,0.6
MDMA,22.9,21.7,15.1,0.8,11.8,4,10.7,2.7,4.2,28.2,7,4,1.7,0.1,3.5,0.9,3.1,1.8,1,0.1,1.2,0.8,2.4,0,0.2,3.2,5.7,8.4,6.1,3.1,0,2.1,0.4,9.7,9.5,5.9
LSD,22.4,30.2,6.9,0.4,20.4,12.4,6.2,5.9,1,19.4,11.5,1.4,1.1,0.1,0.9,1.5,5.1,2,0.7,0.2,3.1,3.5,2.1,0,0.2,0.1,2.1,6.5,8.6,7.6,0.1,3.1,0.4,5,4.9,3.5
DXM,11.5,32.4,11.2,1.7,17.1,4.8,21.7,4.6,5.8,8.3,5.6,0.8,0.8,0.7,1.4,1.5,1,0.2,0.2,0,1.2,1.9,5.4,0,0,0.8,2.4,9.5,2,1,0.2,3.7,0.2,1.5,9.7,1.5
Opiates,18.4,26.6,26.4,12.5,8.8,3.2,6.7,3.7,23.8,9.5,1.1,2.6,0.9,5.8,0.4,0.7,0.9,1.3,0.4,0,1.3,0,5.2,0,0,0.2,2.8,1.9,3,0,0.6,3.7,0.9,2.6,7.6,1.3
Pharmaceuticals,11.3,23.8,21.1,0.6,12.9,6.4,19.1,9.6,8.4,4.9,0.4,8.6,2.9,13.9,0.4,0.8,1.2,2.1,0.6,0.2,0.6,0.6,8.8,0,0.8,0.2,9.6,4.3,2,0.4,0,6.3,0.2,2.5,7.2,6.3
Opioids,21.5,27.4,25,2.2,6.5,2.6,10.8,2.2,26.6,17.1,0.8,3.9,1.4,7.9,0,0.6,0.4,0.4,0.8,0,0.6,0,3.9,0,0,0.2,4.3,2.6,2.2,0,0,4.7,0.6,3.3,10.8,1.2
Alcohol,15.8,18.4,10.8,3.9,15.8,5.2,14.1,10,7.1,10.8,1.7,1.5,1.3,0.9,0.4,1.7,1.1,0.9,0,0.2,0.2,0,9.7,0,0.2,0.4,3.5,4.5,2.2,1.5,0.4,3.2,0,2.6,14.5,3
