Drug,Difficult Experiences,Bad Trips,Health Problems,Train Wrecks & Trip Disasters,Addiction & Habituation,Glowing Experiences,Mystical Experiences,Health Benefits,Medical Use,Entities / Beings,Therapeutic Intent or Outcome,Post Trip Problems
Mushrooms,22.3,10,3.2,3.1,0.3,22.4,16.5,1.9,0.3,6.8,1.7,2.8
Cannabis,21.8,10.4,9.7,2.2,3.8,14,7.5,1.9,1.5,3.3,0.8,5.3
Salvia divinorum,19.2,5.6,1,0.7,0.1,9.6,15.7,1.2,0.1,27.4,0.6,1.5
MDMA,11.8,4,10.7,2.7,4.2,28.2,7,4,0.1,3.1,1.8,8.4
LSD,20.4,12.4,6.2,5.9,1,19.4,11.5,1.4,0.1,5.1,2,6.5
DXM,17.1,4.8,21.7,4.6,5.8,8.3,5.6,0.8,0.7,1,0.2,9.5
Opiates,8.8,3.2,6.7,3.7,23.8,9.5,1.1,2.6,5.8,0.9,1.3,1.9
Pharmaceuticals,12.9,6.4,19.1,9.6,8.4,4.9,0.4,8.6,13.9,1.2,2.1,4.3
Opioids,6.5,2.6,10.8,2.2,26.6,17.1,0.8,3.9,7.9,0.4,0.4,2.6
Alcohol,15.8,5.2,14.1,10,7.1,10.8,1.7,1.5,0.9,1.1,0.9,4.5
Cocaine,8.5,3.6,7.6,4.2,35.5,9.8,0.4,0.4,0,0.4,0.4,3.6
Morning Glory,15.1,4.7,11.1,1.6,0,19.6,12,1.4,0.5,4.5,2.9,0.9
2C-I,12.9,2.9,3.4,2.9,0,31.1,4.8,0.5,0,2.3,1.6,2
Harmala Alkaloids,18.3,2.8,6.9,1.2,0.2,18.1,11.1,1.6,0,15,2.5,0.7
Amphetamines,11.4,4.9,13.3,2.2,21.2,13.6,1.2,3.2,7.7,1.5,0.7,4.2
DMT,12.2,3.1,0.9,0.9,0,29,21.9,0.9,0.3,39.2,3.7,0.9
Methamphetamine,7.6,5.9,18.8,4.3,37.5,10.2,1,2,0.7,3,0,11.2
Syrian Rue,21.1,3.6,8.2,1.6,0,18.1,9.5,1,0,15.5,1,0.7
H.B. Woodrose,21.8,8.6,7.9,1,0,21.1,9.6,1.7,0.3,1,3.3,2
5-MeO-DMT,21.6,6,6.6,3,1.7,15.3,17.6,1,0,6,2.3,4.7
Ketamine,14.4,5.7,6.7,5,5.7,19.8,11.1,1.3,0.7,9.1,3.7,3.4
2C-E,17.5,3,2,4,1,20.5,5.4,1,0,4.7,4,1.3
5-MeO-DiPT,13.3,2.8,7.7,4.5,0.3,16.8,2.1,1,0,0.7,0,1.7
SSRIs,17.4,7.2,25,1.9,5.7,3.4,0.4,7.2,22,1.1,2.3,7.2
Cacti,9.2,0.8,1.9,0,0,27.2,11.1,1.9,0.4,6.5,0.8,0.8
Nitrous Oxide,5.6,4,9.2,2.4,5.6,22.1,12.9,4,1.6,6.8,0.8,6
AMT,17.7,4.9,14,4.5,1.2,25.1,1.6,0.8,0,1.6,0.4,2.5
NBOMe Series,16.9,6.6,3.7,7.9,0.4,20.2,1.7,0,0,2.9,4.5,1.7
Nutmeg,17.5,4.2,10.4,0.8,0,7.1,2.9,0.8,0,0.4,0,3.3
Kratom,5.9,0.4,5.1,0.4,13.6,11.9,2.1,8.9,2.5,0.8,3.4,1.3
2C-B,16.8,2.6,4.7,3,0,20.3,3.9,0.4,0,6,0.9,2.2
