Report ID,Drugs,Categories,Non-Substance,Context,Dose Method,Intensity,Gender,Title,Author,Date,Views
1,"MDMA[method]oral[amount]0.5 tablets[form]pill / tablet,Stimulants",,,,,Medium,,An Unforgettable Ride!,Johnny Blaze,May 30 2000,72635
2,"MDMA[method]oral[amount]2 tablets[form]pill / tablet,Mushrooms[method]oral[form]dried,Opiates,Opium[method]smoked,Stimulants",,,,,Medium,,A Trip to Remember....If I Could!,SpEcK,May 30 2000,37554
3,"MDMA[method]oral[amount]1 tablet[form]pill / tablet,Stimulants",,,,,Medium,,Lost for 20,e4me&u,May 30 2000,5171
4,"2C-T-7[method]oral[amount]37 mg[form]powder / crystals,Phenethylamine",,,,,Strong,,Spectrum of Effects,Elfstone,May 31 2000,5021
5,"2C-T-7[method]oral[amount]25 mg[form]capsule,Phenethylamine",,,,,Medium,,2CT Heaven,God,May 31 2000,5886
6,Morning Glory[method]oral[amount]125 seeds[form]seeds,,,,,Strong,,Blooming on Fry Street,Great Ludwigo,May 30 2000,19411
7,Mushrooms[method]oral[amount]3.5 g[form]plant material,,,,,Strong,,"Ego Death, Infinite Deja-Vu, Scared Shitless",Stash,May 31 2000,42834
8,LSD[method]oral[amount]2 hits[form]liquid,,,,,Medium,,Mother Nature and the Mountain,e is4 Pete,May 29 2000,4749
9,Cannabis[method]smoked[amount]5 hits,,,,,Light,,"The night of my life, how i remembered it",Stephen,May 30 2000,6389
10,"MDMA[method]oral[amount]1.5 tablets[form]pill / tablet,Stimulants",,,,,Medium,,Ode to Joy,Bry,May 30 2000,4574
11,"MDMA[method]oral[amount]1 tablet[form]pill / tablet,Stimulants",,,,,Medium,,New Drug of Choice,Linolium,May 30 2000,2580
12,"MDMA[method]oral[amount]1 tablet[form]pill / tablet,Stimulants",,,,,Medium,,The Highest Heights and Lowest Depths,Scarlett Jane,May 30 2000,2016
13,Salvia divinorum[method]smoked[amount]2 hits[form]extract - 5x,,,,,Medium,,Temporary Insanity,Shuman the Human,May 31 2000,4695
14,Chlorpheniramine Maleate,,,,,Strong,,Life-Line,bendyguy,May 31 2000,16975
15,Dimenhydrinate[method]oral[amount]8 tablets[form]pill / tablet,,,,,Strong,,Nothing Like it in the Drug World,Nicole Sylva,May 31 2000,41078
16,Mushrooms[method]oral[amount]3.0 g[form]plant material,,,,,Medium,,Self-Discovery,DrewFPierce,May 31 2000,4558
17,Cocaine[method]insufflated[amount]1.5 g[form]powder / crystals,,,,,Strong,,Wrigglin' Out of my Pants,Leah,May 31 2000,57911
18,Absinthe[method]oral[amount]2.5 glasses[form]liquid,,,,,Light,,The Emerald Princess,Kheophex,May 31 2000,45000
19,LSD[method]oral[amount]2 hits[form]blotter / tab,,,,,Strong,,God,Robbie,May 31 2000,14094
22,Belladonna[method]oral[amount]3 flowers[form]tea,,,,,Strong,,An Undisciplined Stunt,ChemBob,May 31 2000,50319
23,AMT[method]oral[amount]30 mg,,,,,Medium,,A Low Dose Experiment,Crispy,May 31 2000,10735
24,AMT[method]oral[amount]45 mg,,,,,Medium,,"If LSD is a Nova, then AMT is a Beamer",Free-Will,May 31 2000,10647
25,"2C-T-7[method]oral[amount]12 mg[form]pill / tablet,Phenethylamine",,,,,Light,,Some Optimism and Awe,skip,May 31 2000,8685
26,"2C-T-7[method]oral[amount]37.5 mg[form]powder / crystals,Phenethylamine",,,,,Medium,,A 'Cogitogen': Intellectual Stimulation!,Cerebronaut,May 31 2000,13420
27,Belladonna[method]oral[amount]0.25 glasses[form]tea,,,,,Strong,,Reality Trickery,Fla Keys,May 31 2000,46011
28,Datura[method]oral[amount]1 glass[form]tea,,,,,Strong,,Out of Control,Jadah,May 31 2000,9575
29,Datura[method]oral[amount]0.5 glasses[form]tea,,,,,Medium,,This Shit's Crazy!!,x man,May 31 2000,4915
30,Datura[method]smoked[amount]2 hits,,,,,Light,,Elemental Insights,Panda Monium,May 31 2000,56771
31,Cocaine[method]insufflated[form]powder / crystals,,,,,Medium,,Not as Good as it Sounds,aaron,May 31 2000,3290
32,Cocaine[method]insufflated[amount]0.8 g[form]powder / crystals,,,,,Medium,,Cure for the Down,Random Error,May 31 2000,15785
34,Alcohol[method]oral[amount]0.2 gal[form]liquid,,,,,Strong,,An Alcohol Trip?,Ishmael,Jun 9 2000,156821
35,Amanitas[method]oral[amount]10 g[form]capsule,,,,,Light,,"Extreme Sweating, Salivation, & Ear Sogginess",Cybermonk,Sep 8 2000,12133
39,Inhalants[method]inhaled[form]gas,,,,,Medium,,I'm a Plane,General Mitchell,Sep 10 2000,27231
41,Ephedrine[method]oral[amount]75 mg[form]pill / tablet,,,,,Medium,,A Weekend on Ephedrine,Clay,Sep 10 2000,72248
