Report ID,Drugs,Categories,Non-Substance,Context,Dose Method,Intensity,Gender
80334,2C-H,,,,,,
65121,3C-B,,,,,,
101463,Aspirin,,,,,,
93515,Ergot,,,,,,
88158,Ergot,,,,,,
82996,Ergot,,,,,,
76132,Garlic,,,,,,
89229,Indian Warrior,,,,,,
86933,JWH-081,,,,,,
61303,Loperamide,,,,,,
40615,Loperamide,,,,,,
66167,Loperamide,,,,,,
66159,Loperamide,,,,,,
8475,Loperamide,,,,,,
26683,Loperamide,,,,,,
50532,Pharms - Levofloxacin,,,,,,
6941,Pharms - Levothyroxine,,,,,,
31687,Pharms - Lidocaine,,,,,,
92300,Products - Other,,,,,,
11228,Calea zacatechichi,"Retrospective / Summary,Entities / Beings",,Alone,,,Male
12481,Pharms - Methylphenidate,"Retrospective / Summary,Addiction & Habituation,Depression",,Alone,,,Male
16471,"Cannabis,LSD,Morning Glory,Mushrooms,Opiates,Opium","Retrospective / Summary,Mystical Experiences",Meditation,Alone,,,Male
70812,"Pharms - Aripiprazole,Pharms - Paroxetine,Pharms - Quetiapine,SSRIs","Combinations,Medical Use,Multi-Day Experience",,Hospital,,,Male
66438,DXM,"Retrospective / Summary,Health Problems",,Various,,,Male
86136,"Ibogaine,Kratom,Methadone,Opioids","Combinations,Retrospective / Summary,Health Problems,Addiction & Habituation,Health Benefits,Medical Use,Second Hand Report,Multi-Day Experience,Hangover / Days After",,Not Applicable,,,Female
81158,Kratom,"Combinations,Retrospective / Summary",,Not Applicable,,,Male
50087,"Benzodiazepines,Pharms - Diazepam","Retrospective / Summary,Music Discussion",,Not Applicable,,,Male
60587,2C-T-2,"Retrospective / Summary,Nature / Outdoors,Music Discussion",,Not Applicable,,,Male
68027,"Naloxone,Pharms - Buprenorphine",Retrospective / Summary,,Not Applicable,,,Male
69779,Pharms - Carisoprodol,Retrospective / Summary,,Not Applicable,,,Female
81095,"Heroin,Opiates",Retrospective / Summary,,Not Applicable,,,Female
82352,"Amphetamines,MDPV","Addiction & Habituation,Depression,Hangover / Days After",,Not Applicable,,,Male
84954,LSD,"Retrospective / Summary,Addiction & Habituation",,Not Applicable,,,Male
65940,"Heroin,Opiates",Retrospective / Summary,,Not Applicable,,,Female
64114,Cannabis,"Retrospective / Summary,Health Problems,Addiction & Habituation,Depression,Relationships",,Not Applicable,,,Male
64193,Lotus/Lily,"Combinations,Retrospective / Summary,Glowing Experiences,Sex Discussion",,Not Applicable,,,Male
62658,Cannabis,"Retrospective / Summary,Addiction & Habituation",,Not Applicable,,,Male
57508,"LSA,Morning Glory",Preparation / Recipes,,Not Applicable,,,Not-Specified
65766,"Caffeine,Various","Retrospective / Summary,Addiction & Habituation,Multi-Day Experience",,Not Applicable,,,Male
64474,"Alcohol,Cannabis,MDMA,Opioids,Pharms - Oxycodone,Pharms - Quetiapine,Pharms - Zolpidem,Various","Combinations,Retrospective / Summary",,Not Applicable,,,Male
85149,"Opioids,Pharms - Oxycodone","Retrospective / Summary,Addiction & Habituation",,Not Applicable,,,Female
64727,Pharms - Tramadol,"Retrospective / Summary,Addiction & Habituation",,Not Applicable,,,Female
64731,"Heroin,Opiates,Opioids,Pharms - Dihydrocodeine","Retrospective / Summary,Addiction & Habituation,Families,Multi-Day Experience",,Not Applicable,,,Male
81605,"Benzodiazepines,Pharmaceuticals,Pharms - Alprazolam","Health Problems,Addiction & Habituation",,Not Applicable,,,Male
63974,"Amphetamines,Various","Retrospective / Summary,Addiction & Habituation",,Not Applicable,,,Male
74472,Kratom,"Retrospective / Summary,Glowing Experiences",,Not Applicable,,,Male
73305,"Cannabis,Kava,Melatonin,Opiates,Pharms - Mirtazapine,SSRIs,Tryptophan,Various","Combinations,Retrospective / Summary",,Not Applicable,,,Male
66892,"Heroin,Opiates","Combinations,Retrospective / Summary,Addiction & Habituation",,Not Applicable,,,Male
56167,Cacti,"Retrospective / Summary,Preparation / Recipes,Cultivation / Synthesis",,Not Applicable,,,Male
18764,"Amphetamines,Methamphetamine","Retrospective / Summary,Health Problems,Addiction & Habituation,Relationships",,Not Applicable,,,Female
49879,"Opioids,Pharms - Oxycodone","Retrospective / Summary,Addiction & Habituation",,Not Applicable,,,Male
22014,"Benzodiazepines,Pharmaceuticals,Pharms - Alprazolam","Retrospective / Summary,Addiction & Habituation",,Not Applicable,,,Male
80365,Kratom,Retrospective / Summary,,Not Applicable,,,Female
80777,"LSD,Naloxone,Pharms - Buprenorphine","Combinations,Addiction & Habituation,Medical Use,Multi-Day Experience,Post Trip Problems,Hangover / Days After",,Not Applicable,,,Male
61038,"Naloxone,Pharms - Buprenorphine","Retrospective / Summary,Health Problems,Addiction & Habituation,Medical Use,Multi-Day Experience",,Not Applicable,,,Male
64679,Skullcap,"Retrospective / Summary,Health Benefits,Multi-Day Experience,Depression,Sex Discussion",,Not Applicable,,,Male
61187,Pharms - Zolpidem,"General,Retrospective / Summary",,Not Applicable,,,Male
60643,"Hydrocodone,Opioids,Pharms - Oxycodone","Health Problems,Medical Use,Multi-Day Experience,Hangover / Days After",,Not Applicable,,,Male
62032,Pharms - Zopiclone,"Retrospective / Summary,Medical Use",,Not Applicable,,,Male
43089,Pharms - Zopiclone,"Retrospective / Summary,Hangover / Days After",,Not Applicable,,,Male
68888,"LSD,Pharms - Risperidone","Retrospective / Summary,Health Problems,HPPD / Lasting Visuals,Post Trip Problems,Sex Discussion",,Not Applicable,,,Male
56581,Pharms - Venlafaxine,"Retrospective / Summary,Depression,Hangover / Days After",,Not Applicable,,,Male
45896,Cocaine,"Retrospective / Summary,Addiction & Habituation,Relationships",,Not Applicable,,,Male
82659,Diphenhydramine,"Health Problems,Sex Discussion",,Not Applicable,,,Male
74529,Cannabis,Combinations,Yoga / Bodywork,Not Applicable,,,Male
83625,"4-Methylmethcathinone,Methylone","Combinations,Retrospective / Summary",,Not Applicable,,,Male
62363,Amphetamines,"Retrospective / Summary,Bad Trips,Addiction & Habituation,Performance Enhancement",,Not Applicable,,,Male
77783,Kratom,"Retrospective / Summary,Addiction & Habituation,Health Benefits,Medical Use",,Not Applicable,,,Male
83404,DXM,General,Drug Testing,Not Applicable,,,Male
63971,Mushrooms,"Preparation / Recipes,Cultivation / Synthesis",,Not Applicable,,,Male
82821,DXM,General,Drug Testing,Not Applicable,,,Male
10747,GBL,"Retrospective / Summary,Addiction & Habituation",,Not Applicable,,,Male
11399,Amphetamines,"Retrospective / Summary,Addiction & Habituation,Medical Use",,Not Applicable,,,Female
30080,MDMA,"Health Problems,Train Wrecks & Trip Disasters,Addiction & Habituation,Depression,Post Trip Problems",,Not Applicable,,,Male
29724,"Amphetamines,Cocaine,Pharms - Methylphenidate",Retrospective / Summary,,Not Applicable,,,Female
