Report ID,Drugs,Categories,Non-Substance,Context,Dose Method,Intensity,Gender,Title,Author,Date,Views
80334,2C-H,,,,,,,"So Happy, Very Happy",PandaDoom,Aug 3 2009,6633
65121,3C-B,,,,,,,A Bad Idea,K-Rock,Aug 16 2007,2024
101463,Aspirin,,,,,,,Severe Allergic Reaction,AnotherSpaceCadet,Mar 31 2014,314
88158,Ergot,,,,,,,Tripped Lasted 6-8 Hours,Gabriel,Jan 24 2011,1414
93515,Ergot,,,,,,,'Paspalli',bonto420,Nov 4 2011,909
82996,Ergot,,,,,,,One Gram,Gabe P.,Jan 7 2010,1854
76132,Garlic,,,,,,,Licking the Gar,notspam,Aug 2 2009,4348
89229,Indian Warrior,,,,,,,Skeptical to Believer,oneman,Feb 21 2011,10870
86933,JWH-081,,,,,,,Weaker,Dr. Kink,Dec 2 2013,32
40615,Loperamide,,,,,,,Crap-Out (No Effect from 40mg),roundablok,Feb 6 2008,3129
8475,Loperamide,,,,,,,Poor Man's Methadone,Lucidsix,Aug 3 2004,19141
26683,Loperamide,,,,,,,Junky Help,doc,Sep 8 2003,5546
61303,Loperamide,,,,,,,Hydrocodone-free,blue,Feb 6 2008,2984
66159,Loperamide,,,,,,,Absolutely Awesome!,Baybe,Feb 6 2008,14313
66167,Loperamide,,,,,,,The Last Good Time,Baybe,Feb 6 2008,3186
50532,Pharms - Levofloxacin,,,,,,,I Was Reborn,teresascat,Oct 10 2007,2942
6941,Pharms - Levothyroxine,,,,,,,My Own World,Jules,Nov 24 2001,215
31687,Pharms - Lidocaine,,,,,,,Unexpected Side Effects of Freezing Agent,Hypersphere,Mar 30 2004,32037
92300,Products - Other,,,,,,,Combined Stimulation and Relaxation,GEFD,Aug 9 2011,599
11228,Calea zacatechichi,"Retrospective / Summary,Entities / Beings",,Alone,,,Male,I Wanted This to Be True,Isaac in Heaven,Oct 16 2003,31061
12481,Pharms - Methylphenidate,"Retrospective / Summary,Addiction & Habituation,Depression",,Alone,,,Male,Light and Darkness,Neko,Mar 28 2007,18875
16471,"Cannabis,LSD,Morning Glory,Mushrooms,Opiates,Opium","Retrospective / Summary,Mystical Experiences",Meditation,Alone,,,Male,Plastic Enlightenment,Drala,Jan 14 2007,13724
70812,"Pharms - Aripiprazole,Pharms - Paroxetine,Pharms - Quetiapine,SSRIs","Combinations,Medical Use,Multi-Day Experience",,Hospital,,,Male,Numb to the Core,Virtual Unreality,Feb 21 2010,13661
66438,DXM,"Retrospective / Summary,Health Problems",,Various,,,Male,Ten Years for Panic Disorder,BillPill,Apr 14 2012,16552
49879,"Opioids,Pharms - Oxycodone","Retrospective / Summary,Addiction & Habituation",,Not Applicable,,,Male,Beyond Control,OpiumDreamz,Dec 15 2006,16322
50087,"Benzodiazepines,Pharms - Diazepam","Retrospective / Summary,Music Discussion",,Not Applicable,,,Male,Everything You've Wanted to Know,Augur,Sep 23 2007,92089
56167,Cacti,"Retrospective / Summary,Preparation / Recipes,Cultivation / Synthesis",,Not Applicable,,,Male,T. Peruvianus and Pachonoia Comparisons,Mr. Inapplicable,Mar 17 2007,19252
56581,Pharms - Venlafaxine,"Retrospective / Summary,Hangover / Days After,Depression",,Not Applicable,,,Male,Complex Psychoactive,Jacky,Jul 12 2010,7910
61038,"Naloxone,Pharms - Buprenorphine","Retrospective / Summary,Health Problems,Addiction & Habituation,Medical Use,Multi-Day Experience",,Not Applicable,,,Male,The Scoop,Kmfdm2357,Oct 10 2010,12467
61187,Pharms - Zolpidem,"General,Retrospective / Summary",,Not Applicable,,,Male,Watching the Fractalðs Cannabalism,Jack,Aug 22 2010,7792
61485,2C-B,General,Drug Testing,Not Applicable,,,Male,Passed with Flying Colors,Tryphen,Sep 25 2007,7922
60643,"Hydrocodone,Opioids,Pharms - Oxycodone","Health Problems,Medical Use,Hangover / Days After,Multi-Day Experience",,Not Applicable,,,Male,Hydrocodone to Oxycodone Transition,Anon,Aug 1 2010,18572
57508,"LSA,Morning Glory",Preparation / Recipes,,Not Applicable,,,Not-Specified,Ergine Extraction,Mandel,Nov 20 2007,59150
57805,"Naloxone,Pharms - Buprenorphine",Medical Use,,Not Applicable,,,Male,Rock Bottom,Suboxone King,Oct 10 2010,6546
60587,2C-T-2,"Retrospective / Summary,Nature / Outdoors,Music Discussion",,Not Applicable,,,Male,Four Long Years,Tryphen,Feb 22 2007,15314
62032,Pharms - Zopiclone,"Retrospective / Summary,Medical Use",,Not Applicable,,,Male,Operating on a Different Level,Corwin Black,Jul 23 2010,22485
30080,MDMA,"Health Problems,Train Wrecks & Trip Disasters,Addiction & Habituation,Post Trip Problems,Depression",,Not Applicable,,,Male,E Abuse 3 Years After,LoKi007,Nov 11 2007,15260
30219,Inhalants,"Health Problems,Post Trip Problems,Hangover / Days After",,Not Applicable,,,Male,Causes Lasting Effects,Warning,Nov 10 2007,12138
29724,"Amphetamines,Cocaine,Pharms - Methylphenidate",Retrospective / Summary,,Not Applicable,,,Female,Always Wanting More,Speedy,Nov 10 2007,13805
24896,Salvia divinorum,"Preparation / Recipes,Cultivation / Synthesis",,Not Applicable,,,Not-Specified,Salvinorin Isolation Technique,Sphere,Jan 16 2007,8958
25609,Kava,Preparation / Recipes,,Not Applicable,,,Male,Extraction Process,ChemistK,Jan 12 2007,9931
45896,Cocaine,"Retrospective / Summary,Addiction & Habituation,Relationships",,Not Applicable,,,Male,I Rarely Don't Do Coke,Beau,Jun 27 2010,6404
43089,Pharms - Zopiclone,"Retrospective / Summary,Hangover / Days After",,Not Applicable,,,Male,A Taste I Won't Forget,Johnny Canuck,Jul 23 2010,9439
73305,"Cannabis,Kava,Melatonin,Opiates,Pharms - Mirtazapine,SSRIs,Tryptophan,Various","Combinations,Retrospective / Summary",,Not Applicable,,,Male,A Few Interactions,Qoheleth,Jan 18 2010,47884
80365,Kratom,Retrospective / Summary,,Not Applicable,,,Female,"Warm, Enjoyable and Sensual",Sabje,Jan 9 2011,5581
