,,,,
,,,,
,Simplexity - Unfolding the Fold,Selggurkim,4-AcO-DMT & Cannabis,Aug 19 2013
,The Maelstrom,Man from Chan-Chan,"Ketamine, 25I-NBOMe & 25C-NBOMe",Apr 22 2013
,The Beautiful Chaos,Lyle,DMT & Methoxetamine,Oct 10 2012
,Life Changing Encounter with The Other,mindexplorer,Ayahuasca,Mar 16 2012
,Puzzling Out a Recipe and a Magic Experience,Maggie1215,"Banisteriopsis caapi, Psychotria viridis, A. muscaria,  Magic Mushrooms & Syrian Rue",Mar 6 2012
,Some Growing Up to Do,thingummajig,"MDMA, LSD & Cannabis",Feb 2 2012
,"Goodbye Reality, Goodbye Universe",Hubert Cumberdale,Salvia divinorum,Nov 26 2011
,The Process and the Infinite Oneness,Hedgeclipper,DPT,Sep 21 2011
,A Strangely Isolated Place,DayTripper,LSD & Massage,Aug 5 2011
,No Boundaries,TPTB,Ibogaine,Nov 19 2010
,Juxtaposition of All Selves into Singularity,FantomeCiel,Mushrooms,Mar 23 2010
,Turning Back the Second Seconds,nowhereman,DPT,Jul 15 2009
,Reality is a Five Spoked Wheel,Vulpine,Salvia divinorum,Oct 30 2007
,A New Alloy Blooms in the Crucible,Nowhereman,"Syrian Rue, Cacti - T. peruvianus, 2C-E, 4-AcO-DMT & DMT",Jun 28 2007
,Passing the Course,William,Inhalants - Glue,Jun 9 2007
,Amazing Airbulb Invention,PippUK,DMT,May 24 2007
,Confessions of a Middle-aged Ecstasy Eater,Anonymous,MDMA,Feb 6 2007
,Hell Hath No Fury on the Heart Like ...,Cibilian,5-MeO-DMT,Jan 20 2007
,We Dissolved as One into the Spiral,entheogenist,5-MeO-DiPT,Jan 15 2007
,Ego Trip,nowhereman,4-AcO-DMT & Syrian Rue,Jan 3 2007
,The  Hellraiser Leaf,Zen Priest,Salvia divinorum,Nov 10 2006
,"Not Unlike a Velvety, Saucey, French Dish",Acrimonius Funk,DiPT & Salvia divinorum (20x extract),Oct 19 2006
,"Prime, Probe, Process",Lola B,5-MeO-DMT,Oct 13 2006
,A Backward-Resonating Experience,bug,2C-I,May 16 2006
,Dripping Bloody Killing Machines,Noviseer,DOC,Apr 28 2006
,The End of the Rabbit Hole - Beauty and Terror,Xorkoth,"2C-E, Cannabis, Choline, DMAE, Kratom & Piracetam",Dec 23 2005
,So We Enter the Aethyr,Ashton R.,Salvia divinorum (10x extract),Nov 15 2005
,Psychoreal (Through the Eye of a Needle),Nuages Gris,DPT & Cannabis,Sep 20 2005
,A Little Dab'll Do Ya,M. Soubriquet,Salvia Divinorum,Jul 26 2005
,2C-hEll,NutterButter,2C-E,Apr 5 2005
,Showing Me Myself,Pulsetsar,Cacti - T. peruvianus,Oct 12 2004
,The Moment,VapourBoy,Mushrooms (P. cubensis) & Syrian Rue,Sep 10 2004
,The Power and The Glory,Netrunner,"Harmaline, 5-MeO-DMT & DMT",Jul 7 2004
,The Ultimate Lack of Truth,vorpal,Nitrous Oxide,Mar 10 2004
